,ride.alc.driver,female,grade,age4,smoke,DriverLicense,In_Month
1,1,1,10,15,1,0,39343
2,1,1,10,18,1,1,46205
3,1,NA,NA,NA,NA,NA,NA
4,0,0,11,17,0,1,43525
5,0,0,11,17,0,1,39891
6,0,0,11,17,1,1,56642
7,0,0,11,17,0,1,60150
8,0,0,11,17,1,1,54445
9,0,0,11,16,0,1,64445
10,0,1,11,17,0,1,57189
11,0,1,11,17,1,1,63218
12,0,0,11,18,1,1,55794
13,0,1,9,14,1,0,56957
14,1,1,9,15,1,0,57081
15,0,0,9,15,0,0,61111
16,0,0,9,14,0,0,67938
17,0,0,9,15,0,0,66029
18,0,0,9,16,0,1,83088
19,0,0,9,14,1,0,81363
20,0,0,9,14,0,0,93940
21,0,0,9,15,0,0,91738
22,1,1,10,17,1,1,98273
23,0,0,10,15,1,0,101302
24,0,0,10,16,0,1,113812
25,1,1,10,16,1,1,109431
26,0,1,10,15,1,0,105582
27,1,1,10,15,1,0,116969
28,0,0,10,16,1,1,112635
29,0,0,10,16,0,1,122391
30,0,1,10,16,1,1,121872
31,1,1,10,16,0,1,39343
32,0,0,10,15,1,0,46205
33,0,0,10,15,1,0,37731
34,0,1,10,16,0,1,43525
35,0,0,10,16,0,1,39891
36,0,1,10,17,1,1,56642
37,0,1,12,18,0,1,60150
38,0,1,12,18,1,1,54445
39,1,1,12,18,1,1,64445
40,0,NA,10,17,1,1,NA
41,0,0,11,17,0,1,63218
42,1,1,10,15,1,0,55794
43,0,0,12,18,0,1,56957
44,1,1,12,18,1,1,57081
45,1,1,10,18,1,1,61111
46,0,0,12,18,1,1,67938
47,0,1,12,17,0,1,66029
48,0,1,12,17,0,1,83088
49,0,1,12,18,0,1,81363
50,0,0,12,17,0,1,93940
51,0,0,12,17,0,1,91738
52,0,1,12,18,1,1,98273
53,0,1,12,18,1,1,101302
54,1,1,12,18,0,1,113812
55,0,1,12,18,1,1,109431
56,0,1,12,17,1,1,105582
57,1,0,12,17,1,1,116969
58,0,0,12,18,1,1,112635
59,0,1,NA,NA,1,NA,NA
60,0,1,12,17,1,1,121872
61,0,1,11,17,0,1,39343
62,0,1,11,17,1,1,46205
63,0,NA,9,15,1,0,37731
64,0,0,9,16,0,1,43525
65,0,NA,9,15,NA,0,39891
66,0,0,10,16,0,1,56642
67,0,1,10,17,1,1,60150
68,0,1,10,16,1,1,54445
69,0,1,11,16,1,1,64445
70,0,1,11,17,1,1,57189
71,1,1,11,18,1,1,63218
72,0,1,10,16,1,1,55794
73,0,0,9,15,0,0,56957
74,1,0,9,15,1,0,57081
75,1,1,9,15,1,0,61111
76,0,0,9,15,0,0,67938
77,1,0,9,14,1,0,66029
78,0,0,9,14,0,0,83088
79,0,0,9,14,0,0,81363
80,0,0,9,15,NA,0,93940
81,0,1,9,15,1,0,91738
82,0,0,9,14,0,0,98273
83,0,0,9,14,1,0,101302
84,0,0,9,15,0,0,113812
85,0,1,9,15,1,0,109431
86,0,1,12,18,1,1,105582
87,0,1,12,17,0,1,116969
88,0,1,12,NA,1,NA,NA
89,1,1,12,17,1,1,122391
90,1,0,12,17,1,1,121872
91,0,1,12,18,1,1,39343
92,1,1,12,18,1,1,46205
93,1,1,12,18,0,1,37731
94,1,1,12,17,0,1,43525
95,0,NA,12,18,0,1,39891
